"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100"
"1" 3.41513145263821e-10 5.86873413146301e-10 9.92414819922206e-10 1.65251451184822e-09 2.711247242864e-09 4.38543720980569e-09 6.99691201543348e-09 1.10169908721142e-08 1.71269904885374e-08 2.62993825954885e-08 3.99051697039831e-08 5.9854030108961e-08 8.87747730194703e-08 1.30244575357669e-07 1.89076258637667e-07 2.71673402408989e-07 3.86463255642746e-07 5.44417058346615e-07 7.59666370626645e-07 1.05022216994015e-06 1.43880067087796e-06 1.9537559166561e-06 2.6301140933427e-06 3.51069818348037e-06 4.64732402972541e-06 6.10204022981814e-06 7.94837473791849e-06 1.0272540918701e-05 1.31745455159125e-05 1.67691310947266e-05 2.11864766331835e-05 2.65725727898544e-05 3.3089183728117e-05 4.09133060104148e-05 5.02360377277947e-05 6.12607783501547e-05 7.42006922743388e-05 8.92753870022094e-05 0.000106706780337329 0.000126714159677727 0.00014950846979268 0.000175285902455052 0.000204220900639092 0.000236458730074465 0.00027210780988332 0.000311232029726814 0.000353843311211603 0.000399894694085998 0.000449274241019901 0.000501800056801122 0.000557216707301107 0.000615193299786884 0.000675323448960038 0.000737127302991487 0.00080005574204803 0.000863496790354293 0.000926784204207986 0.000989208115782466 0.00105002752951117 0.00110848438811535 0.00116381885278315 0.00121528538024544 0.00126216913189131 0.00130380221925443 0.00133957927836638 0.00136897187354109 0.00139154125954088 0.00140694907887337 0.00141496563644682 0.00141547547438446 0.00140848006204772 0.00139409751625978 0.00137255937000156 0.00134420450993917 0.00130947049967862 0.00126888259235953 0.00122304080965378 0.00117260552141934 0.00111828199912758 0.0010608044356259 0.00100091992356212 0.000939372865651044 0.000876890253501354 0.000814168200298057 0.000751860049105366 0.000690566306400957 0.000630826573094264 0.000573113566423588 0.000517829249139897 0.000465303010444142 0.000415791778857521 0.000369481892734648 0.000326492510914516 0.000286880314927154 0.000250645235400096 0.000217736928501605 0.000188061732473168 0.000161489848257465 0.000137862510280314 0.000116998941758301
"2" 1.47281351524173e-09 2.43993515026401e-09 3.9819615811385e-09 6.40564527585463e-09 1.0162836681963e-08 1.59101724885435e-08 2.4589433833913e-08 3.75342200393305e-08 5.66095959764186e-08 8.43923920080749e-08 1.24400798515605e-07 1.81382715819419e-07 2.61672887378329e-07 3.73629032278512e-07 5.28156858300695e-07 7.39332824144369e-07 1.02513167037701e-06 1.40826290244129e-06 1.91711645528161e-06 2.58681260325248e-06 3.46034475872786e-06 4.58979615527678e-06 6.03760264903246e-06 7.87782420664143e-06 1.01973774007502e-05 1.30971708385865e-05 1.66930754501172e-05 2.1116652602802e-05 2.65155558113266e-05 3.3053517142579e-05 4.09098280536383e-05 5.02782270828093e-05 6.13651141815932e-05 7.43870240215479e-05 8.9567308619426e-05 0.000107132003116218 0.000127304877245727 0.000150301708315201 0.000176323848434793 0.000205551197964125 0.000238134737090393 0.000274188806219321 0.000313783361415725 0.000356936461330103 0.000403607264777743 0.000453689831453498 0.000507008020516636 0.000563311771656073 0.000622275030064911 0.000683495540334839 0.000746496685143936 0.000810731484044594 0.000875588797457107 0.000940401703774857 0.00100445793622053 0.00106701218434447 0.00112729998632885 0.00118455286645069 0.00123801431059828 0.00128695612491021 0.00133069469107923 0.00136860661861128 0.00140014330052483 0.00142484390482318 0.00144234637894622 0.001452396106609 0.00145485193352969 0.00144968936732854 0.00143700085352173 0.00141699312991198 0.00138998176142891 0.00135638305233628 0.00131670361874395 0.00127152797787678 0.00122150456895021 0.00116733066136965 0.00110973662836608 0.00104947006759006 0.000987280235284804 0.000923903228732982 0.000860048304981791 0.000796385664901384 0.00073353596371697 0.000672061735530492 0.00061246084344286 0.000555161992044849 0.000500522268270509 0.000448826612543545 0.000400289066914402 0.000355055602070976 0.000313208291620448 0.000274770580289205 0.000239713382435303 0.000207961747806332 0.000179401841705782 0.000153888005165245 0.000131249685718189 0.000111298059154689 9.38321953958604e-05 7.86446556756274e-05
"3" 5.77396812123132e-09 9.23926290507481e-09 1.4578666923598e-08 2.26958470390174e-08 3.48768121658332e-08 5.29282471689521e-08 7.93566640274252e-08 1.17597159579812e-07 1.7230141992392e-07 2.49695208190016e-07 3.58015784896701e-07 5.0803939143659e-07 7.13707919235656e-07 9.92862028577252e-07 1.36808511891058e-06 1.86765855496913e-06 2.52662332562845e-06 3.38793681425028e-06 4.50370562050104e-06 5.93646651133158e-06 7.7604778108546e-06 1.00629731932424e-05 1.29453193608139e-05 1.65240090234935e-05 2.09314115944517e-05 2.63161968067368e-05 3.2843341806481e-05 4.06936309662209e-05 5.00625604160865e-05 6.11585667490598e-05 7.42005119915923e-05 8.94143750206549e-05 0.000107029123148655 0.00012727176630455 0.000150361629472793 0.000176503915844256 0.000205882672183106 0.000238653307594248 0.000274934855354429 0.000314802202686803 0.00035827854324186 0.000405328329499968 0.00045585101545705 0.000509675882139597 0.000566558228530627 0.000626177187651501 0.000688135391718069 0.000751960662007014 0.000817109839585033 0.000882974804138801 0.00094889065239462 0.00101414592788267 0.00107799471353258 0.00113967032127747 0.00119840024219214 0.00125342196000078 0.0013039991834184 0.00134943802104236 0.00138910260857418 0.00142242970301779 0.00144894178241322 0.00146825823211056 0.00148010425790866 0.00148431724024011 0.00148085032905099 0.00146977317228348 0.00145126976815082 0.00142563352835457 0.00139325973214294 0.00135463563555283 0.00131032857315575 0.00126097244812739 0.00120725304851838 0.00114989265195701 0.00108963438716813 0.00102722680921912 0.000963409117354567 0.000898897401742255 0.000834372250791192 0.000770467986862662 0.000707763728340342 0.000646776403376971 0.0005879557683553 0.000531681415104065 0.000478261687797414 0.000427934375318817 0.000380868999280135 0.000337170482917265 0.000296883962156673 0.000260000487232999 0.000226463360756375 0.000196174865152452 0.000169003147603296 0.000144789052528856 0.000123352718603222 0.000104499787618994 8.8027104581867e-05 7.37278207011322e-05 6.13958421394083e-05 5.08295963603128e-05
"4" 2.06553879256949e-08 3.19812016276476e-08 4.88722018311653e-08 7.37463884740616e-08 1.09931662691805e-07 1.61952004249305e-07 2.35883576173109e-07 3.3979141951882e-07 4.84257101579825e-07 6.83006681232494e-07 9.5364649156194e-07 1.31851135710355e-06 1.80562582813751e-06 2.44977373295748e-06 3.29366478177121e-06 4.38917913634722e-06 5.7986619099111e-06 7.59622970638206e-06 9.86904088235222e-06 1.27184706686719e-05 1.62611221803345e-05 2.06295953297559e-05 2.59729284682166e-05 3.24566229859067e-05 4.02621598735325e-05 4.95859201130719e-05 6.06374283435842e-05 7.36368520035647e-05 8.88117063376742e-05 0.000106392739254425 0.0001266089987232 0.000149682118555604 0.000175819895037727 0.000205209265668195 0.000238008840584452 0.00027434117531218 0.000314285008202422 0.000357867715321308 0.000405058257525493 0.000455760907231025 0.000509810044300165 0.000566966300449122 0.000626914308893303 0.00068926228056147 0.000753543580647519 0.000819220420790424 0.000885689714533926 0.000952291069476703 0.00101831681142964 0.00108302385735715 0.00114564717824862 0.00120541452390873 0.00126156202228312 0.00131335021932814 0.00136008009416535 0.00140110857007199 0.00143586304597208 0.00146385449560068 0.00148468872195669 0.00149807541146415 0.00150383470321317 0.00150190107086214 0.00149232440476053 0.00147526827580327 0.00145100545652526 0.00141991086500272 0.00138245217960438 0.00133917844422491 0.00129070704162389 0.00123770945484533 0.00118089626220906 0.00112100181946513 0.00105876907385599 0.000994934930073892 0.000930216549127844 0.000865298910377319 0.000800823907021419 0.000737381179190453 0.000675500819529569 0.000615648016713587 0.00055821963560533 0.000503542671155145 0.000451874458717555 0.000403404477889865 0.000358257551224516 0.000316498213838509 0.000278136015067408 0.000243131508451228 0.000211402690676781 0.000182831662512333 0.000157271303875037 0.000134551779459624 0.000114486719266865 9.68789483590796e-05 8.15256707994346e-05 6.82230426986276e-05 5.6770097514549e-05 4.69720123373048e-05 3.86427262124942e-05 3.16069401871491e-05
"5" 6.76607496343975e-08 1.01531057446151e-07 1.50493876028416e-07 2.20435306152275e-07 3.19196305939861e-07 4.57098117436426e-07 6.47568835461244e-07 9.07878852842842e-07 1.25999001968527e-06 1.73151928982734e-06 2.35681230081172e-06 3.1781157070972e-06 4.24682919701403e-06 5.62480909954962e-06 7.38568555856421e-06 9.61614476267812e-06 1.2417117126653e-05 1.5904802191408e-05 2.02114520072211e-05 2.54858276203427e-05 3.18932387713527e-05 3.96150757985278e-05 4.88477457414781e-05 5.98009323636575e-05 7.2695112707482e-05 8.77582810897846e-05 0.000105221855104145 0.000125315766885221 0.000148262775933568 0.000174272076214068 0.000203532308692946 0.00023620412937151 0.000272412520378203 0.000312239065818004 0.00035571444280506 0.00040281139947648 0.000453438503960608 0.000507434949791582 0.000564566692973459 0.000624524173224519 0.000686921836850079 0.000751299631729357 0.000817126587368263 0.000883806526623387 0.00095068588295629 0.00101706352079175 0.00108220237986412 0.00114534269074946 0.00120571644144052 0.00126256271705675 0.00131514348944343 0.00136275940298833 0.00140476508904997 0.0014405835452006 0.00146971913702734 0.00149176881909122 0.0015064312262746 0.00151351335500198 0.00151293463303343 0.0015047282631354 0.00148903981661214 0.00146612314340225 0.00143633375256879 0.0014001198970079 0.00135801166591348 0.00131060844534895 0.00125856514929472 0.00120257764943672 0.00114336784135105 0.00108166877789379 0.00101821027838564 0.000953705386446222 0.000888838001936021 0.000824251956177595 0.000760541737078462 0.00069824500488671 0.000637836972966117 0.000579726663737165 0.000524254990292606 0.00047169456105048 0.000422251059800838 0.000376066017650474 0.000333220767270126 0.000293741353656885 0.00025760416894599 0.000224742080998427 0.000195050835519825 0.000168395528086906 0.000144616964298622 0.000123537751864103 0.000104967996352953 8.87105011915298e-05 7.45654010478872e-05 6.2334184951705e-05 5.18230904545061e-05 4.28458722102814e-05 3.52259670894942e-05 2.87980931028231e-05 2.34093309456052e-05 1.89197449961721e-05
"6" 2.03600608608184e-07 2.9654305165485e-07 4.26947606780666e-07 6.07862526713727e-07 8.56120541800273e-07 1.19318559287695e-06 1.64611525028944e-06 2.24863444304209e-06 3.04230944719271e-06 4.07780313541548e-06 5.4161834030484e-06 7.13024669797022e-06 9.30580804348091e-06 1.20428983210324e-05 1.54567994481273e-05 1.96788391133937e-05 2.48568596535302e-05 3.11552712457967e-05 3.87545986095548e-05 4.78504335658512e-05 5.86517136900911e-05 7.13782603366383e-05 8.62575277214591e-05 0.00010352053846293 0.00012339700963415 0.000146109706293646 0.000171868095608602 0.000200861412748794 0.000233251288106182 0.000269164122257087 0.000308683428503626 0.000351842390786437 0.000398616905360555 0.000448919386098803 0.000502593614229605 0.000559410902642772 0.0006190678221048 0.000681185701818243 0.000745312070347343 0.00081092414627453 0.000877434422882713 0.00094419831997617 0.00101052380153166 0.00107568278320531 0.00113892408216049 0.00119948759641542 0.00125661934503225 0.00130958695679003 0.00135769516567307 0.00140030085833277 0.00143682722246493 0.00146677656605281 0.00148974141504458 0.00150541354971398 0.00151359070588413 0.0015141807433818 0.0015072031675635 0.00149278797700566 0.00147117189780573 0.0014426921488715 0.00140777795975441 0.00136694012998706 0.00132075897401187 0.0012698710368861 0.00121495499167992 0.00115671713952912 0.00109587692783247 0.00103315288198416 0.000969249312890973 0.000904844118272666 0.000840577942726753 0.000777044902498836 0.000714785018335535 0.000654278436595558 0.000595941457314058 0.00054012433053649 0.000487110730788679 0.000437118775587782 0.000390303418468753 0.000346760020703675 0.000306528888901483 0.00026960055772987 0.000235921597514674 0.000205400734522657 0.000177915086210058 0.000153316333352959 0.000131436674400781 0.000112094433289389 9.50992190053572e-05 8.02565622340099e-05 6.73719804240699e-05 5.62544467109162e-05 4.67192596923425e-05 3.85903295986448e-05 3.17019116621992e-05 2.5899829385775e-05 2.10422389890902e-05 1.69999917766548e-05 1.36566538020877e-05 1.09082423716077e-05
"7" 5.64482227749067e-07 7.99100664479365e-07 1.11898192067222e-06 1.55047321346515e-06 2.12649675332054e-06 2.88772133781398e-06 3.88381669668501e-06 5.17476259375724e-06 6.83217465682258e-06 8.94059833290427e-06 1.15987117278537e-05 1.49203679678917e-05 1.9035398791909e-05 2.40900940849664e-05 3.02472677689219e-05 3.76858196302721e-05 4.65997059872163e-05 5.71962401509567e-05 6.96936568321056e-05 8.43178931606691e-05 0.000101298562741142 0.000120864127770029 0.000143236306981018 0.000168623793031936 0.000197215390561704 0.000229172723927588 0.000264622699788654 0.000303649942289144 0.00034628944568743 0.000392519708986928 0.000442256627786682 0.00049534841881087 0.000551571841420495 0.000610629957399174 0.000672151635487351 0.000735692961231663 0.000800740656890554 0.000866717552351065 0.000932990078447901 0.000998877681569476 0.00106366398594164 0.00112660946070479 0.00118696528587545 0.00124398805761988 0.00129695493139877 0.00134517877378842 0.00138802288153217 0.00142491483056876 0.00145535903854042 0.0014789476608525 0.00149536949153872 0.00150441660374831 0.00150598853818822 0.00150009392813697 0.00148684953350622 0.00146647674029254 0.00143929566237222 0.00140571705665177 0.00136623232730988 0.0013214019480105 0.00127184267055804 0.00121821391365866 0.00116120373556291 0.00110151478982996 0.00103985064494049 0.000976902817602937 0.000913338828017087 0.000849791535479253 0.000786849956860929 0.000725051711284159 0.000664877174225919 0.000606745365723954 0.000551011542436571 0.000497966413881712 0.000447836860626561 0.000400787997639783 0.000356926399947214 0.000316304290441956 0.000278924480932577 0.000244745856763503 0.000213689201813631 0.000185643173316223 0.00016047025362457 0.000138012527479263 0.000118097157301049 0.000100541454309491 8.51574687336791e-05 7.17560470736485e-05 6.0150327452064e-05 5.01586649322489e-05 4.16069967978196e-05 3.4330672915078e-05 2.81757882954412e-05 2.30000638812751e-05 1.86733275284833e-05 1.50776504071681e-05 1.21071949015012e-05 9.66782892606716e-06 7.67655877496257e-06 6.06082856983128e-06
"8" 1.44593167035316e-06 1.99201678603858e-06 2.71628777093588e-06 3.66716761895114e-06 4.90325111748499e-06 6.49462912651205e-06 8.52418289819949e-06 1.10887893180525e-05 1.43003678486881e-05 1.82866910805444e-05 2.31918738845008e-05 2.91764519871844e-05 3.64169601057134e-05 4.51049232646046e-05 5.54451831398512e-05 6.7653494613822e-05 8.19533463404725e-05 9.85719828974779e-05 0.000117735634627361 0.000139663993805435 0.000164564011271535 0.000192623124775948 0.000224002067420387 0.000258827439936613 0.00029718426224679 0.000339108745867072 0.000384581547476934 0.000433521773713743 0.000485782006727707 0.000541144608311945 0.000599319537104854 0.000659943878629486 0.000722583242418434 0.000786735125569611 0.000851834279490979 0.00091726004874958 0.000982345580403696 0.00104638873198634 0.00110866443940715 0.00116843824552211 0.00122498063872449 0.00127758181122489 0.00132556642056116 0.00136830792694576 0.00140524208381109 0.00143587917966588 0.00145981466522241 0.00147673784946158 0.00148643840987228 0.00148881053288193 0.001483854577775 0.00147167623782746 0.0014524832527075 0.00142657980335541 0.00139435879127241 0.00135629226604509 0.00131292031557734 0.00126483877147604 0.00121268610605603 0.00115712990738279 0.00109885331463691 0.00103854177884771 0.000976870484968259 0.000914492732115755 0.000852029521725502 0.000790060550596132 0.000729116749771454 0.000669674453264237 0.000612151225023938 0.000556903320252474 0.000504224709985229 0.000454347557002315 0.000407443997772692 0.000363629059674059 0.000322964525515085 0.000285463548193916 0.000251095816688617 0.000219793079792686 0.000191454845132745 0.000165954086944267 0.000143142815728739 0.000122857385063731 0.000104923434388279 8.91603904784971e-05 7.53854736408897e-05 6.3417176601476e-05 5.30782040295934e-05 4.41978781540864e-05 3.6614030712042e-05 3.01744133681874e-05 2.47376677626754e-05 2.01739025905271e-05 1.63649287985549e-05 1.32042053821491e-05 1.05965476993767e-05 8.45764804369318e-06 6.71345478657895e-06 5.2994520614683e-06 4.15987703297655e-06 3.24690656841463e-06
"9" 3.43072535120176e-06 4.60507617895614e-06 6.12167304783021e-06 8.06134586639494e-06 1.05187304585962e-05 1.36033179394626e-05 1.74402708776364e-05 2.21709216772081e-05 2.79528645593042e-05 3.49595519851512e-05 4.33793100101177e-05 5.34136954347489e-05 6.52751310889957e-05 7.91837742783328e-05 9.53635971968492e-05 0.000114037686527475 0.000135422801741672 0.000159723266722743 0.000187124305891736 0.000217784972446056 0.00025183085082302 0.000289346746250139 0.000330369599335243 0.000374881881371493 0.000422805734809191 0.000473998121986382 0.000528247232861283 0.000585270378874786 0.000644713565320539 0.000706152889564634 0.000769097858363471 0.00083299665629144 0.000897243331108949 0.000961186793458615 0.00102414146041937 0.00108539930804753 0.00114424304011582 0.00119996003134226 0.00125185666596521 0.00129927266834098 0.00134159501263406 0.00137827100433642 0.00140882014716847 0.00143284444425315 0.00145003683087745 0.00146018749575674 0.00146318791602431 0.00145903250532714 0.00144781785153217 0.00142973959730547 0.00140508709035213 0.00137423599746337 0.00133763913528315 0.00129581581874257 0.00124934006402836 0.00119882800569496 0.00114492489677809 0.00108829205690833 0.00102959411694426 0.000969486881230056 0.000908606091471648 0.000847557331794322 0.0007869072646348 0.000727176334167347 0.000668833020147174 0.000612289672376599 0.00055789990648574 0.000505957496852711 0.00045669666362463 0.000410293618824447 0.000366869212025019 0.000326492499221189 0.000289185049230461 0.000254925799749958 0.00022365627946913 0.00019528602247984 0.000169698015696467 0.00014675403800217 0.000126299770317084 0.000108169577686092 9.21908868172647e-05 7.81881044211121e-05 6.59860424472296e-05 5.54128352966884e-05 4.63023508744189e-05 3.84961116251446e-05 3.18447533323858e-05 2.62090584202116e-05 2.14606068696681e-05 1.74820918221695e-05 1.41673487321133e-05 1.14211468416458e-05 9.15879009946901e-06 7.30557175649896e-06 5.79612306553737e-06 4.57369208792303e-06 3.58938383910509e-06 2.80138812274698e-06 2.17421660541002e-06 1.67796612786498e-06
"10" 7.5579608541045e-06 9.8954828738129e-06 1.28373884729247e-05 1.65056960426295e-05 2.10383675341393e-05 2.65894152293714e-05 3.33285191612781e-05 4.14400706576471e-05 5.1121565997652e-05 6.25812877462297e-05 7.6035230075953e-05 9.17032481284273e-05 0.00010980443973472 0.000130551799828723 0.000154146222557302 0.000180769962055196 0.000210579698514864 0.000243699389800539 0.00028021311857631 0.000320158168954528 0.000363518583304927 0.00041021945764124 0.000460122231769285 0.000513021217405533 0.000568641583503431 0.00062663898331678 0.000686600963118275 0.000748050239294956 0.000810449870631252 0.000873210288168066 0.000935698078726406 0.000997246352724179 0.00105716646515555 0.00111476080333204 0.0011693363086812 0.00122021836483486 0.00126676466208237 0.00130837864020185 0.00134452211828321 0.00137472674127798 0.00139860390785718 0.00141585289149249 0.00142626692437731 0.00142973707964285 0.00142625385857063 0.00141590646316029 0.00139887980768972 0.001375449392733 0.00134597422897859 0.00131088805369903 0.0012706891280035 0.00122592893665218 0.00117720013340328 0.00112512408328477 0.00107033834913586 0.00101348445402328 0.00095519622487811 0.000896088987621199 0.000836749841877219 0.000777729196264891 0.000719533695246209 0.000662620617710079 0.000607393777771383 0.00055420091151818 0.000503332491063578 0.000455021870446906 0.000409446637622189 0.000366731023364884 0.000326949201751668 0.000290129307685707 0.000256257994457431 0.000225285357886405 0.00019713006240811 0.000171684517655947 0.000148819970636538 0.000128391397530025 0.000110242099487271 9.42079276229099e-05 8.01210829292314e-05 6.78134563404721e-05 5.71194921220708e-05 4.78785737033419e-05 3.99369447429745e-05 3.31491894512647e-05 2.73793049572732e-05 2.25014048674829e-05 1.84000972639036e-05 1.49705824482569e-05 1.21185160124774e-05 9.75968159332593e-06 7.8195152445846e-06 6.23252002991893e-06 4.94160547874218e-06 3.89738221090909e-06 3.05743754527453e-06 2.38561344968935e-06 1.85130391715969e-06 1.4287848798402e-06 1.09658618039858e-06 8.36911959916439e-07
